build,level,n,melee_defense_base_mean,magic_defense_base_mean,missile_defense_base_mean,missile_weapons_base_mean,light_weapons_base_mean,heavy_weapons_base_mean,finesse_weapons_base_mean,two_handed_combat_base_mean,war_magic_base_mean,void_magic_base_mean,life_magic_base_mean,fletching_base_mean,melee_defense_base_min,magic_defense_base_min,missile_defense_base_min,missile_weapons_base_min,light_weapons_base_min,heavy_weapons_base_min,finesse_weapons_base_min,two_handed_combat_base_min,war_magic_base_min,void_magic_base_min,life_magic_base_min,fletching_base_min,melee_defense_base_max,magic_defense_base_max,missile_defense_base_max,missile_weapons_base_max,light_weapons_base_max,heavy_weapons_base_max,finesse_weapons_base_max,two_handed_combat_base_max,war_magic_base_max,void_magic_base_max,life_magic_base_max,fletching_base_max
ARCHER,11,14,84,21,39,82,55,55,65,55,5,0,11,63,53,9,32,60,46,46,53,46,0,0,0,0,138,47,48,126,70,70,77,70,73,0,92,114
ARCHER,12,8,98,19,42,83,66,66,70,66,0,0,4,50,37,8,22,60,47,47,37,47,0,0,0,0,136,45,53,131,83,83,87,83,0,0,35,82
ARCHER,13,8,117,18,47,94,57,57,85,57,0,0,0,48,37,8,22,60,37,37,37,37,0,0,0,0,152,22,63,135,67,67,146,67,0,0,0,133
ARCHER,14,9,111,21,46,102,60,60,84,60,0,0,0,47,67,8,34,60,50,50,57,50,0,0,0,0,155,61,62,146,67,67,144,67,0,0,0,115
ARCHER,15,6,81,16,43,84,55,54,71,54,0,0,5,52,75,11,40,60,42,42,67,42,0,0,0,0,101,21,50,155,70,70,83,70,0,0,28,78
ARCHER,16,36,89,18,40,79,54,54,69,54,0,0,1,43,37,8,22,60,37,37,37,37,0,0,0,0,179,31,60,170,91,91,100,91,0,0,25,136
ARCHER,17,11,127,24,50,124,67,67,81,67,0,0,11,57,53,8,32,60,42,42,53,42,0,0,0,0,190,65,62,184,83,83,100,83,0,0,50,151
ARCHER,18,6,126,27,49,122,73,73,82,73,0,0,0,49,77,9,36,60,56,56,60,56,0,0,0,0,171,79,61,175,94,94,102,94,0,0,0,94
ARCHER,19,7,100,24,46,87,66,66,78,66,0,0,32,32,50,8,30,60,43,43,50,43,0,0,0,0,177,50,64,140,92,92,107,92,0,0,131,81
ARCHER,20,16,158,34,57,117,72,72,96,72,0,0,4,88,77,8,40,60,42,42,67,42,0,0,0,0,204,81,76,188,91,91,144,91,0,0,60,169
ARCHER,21,7,169,33,56,118,77,77,93,77,0,0,0,101,118,12,42,81,66,66,70,66,0,0,0,0,196,70,61,175,87,87,101,87,0,0,0,163
ARCHER,22,7,94,18,46,76,62,62,75,62,0,0,0,44,77,8,40,60,37,37,67,37,0,0,0,0,160,34,61,108,93,93,93,93,0,0,0,127
ARCHER,23,5,110,26,48,87,74,74,83,74,0,0,0,68,72,14,40,60,43,43,67,43,0,0,0,0,157,50,70,127,92,92,117,92,0,0,0,127
ARCHER,24,10,148,36,56,131,80,80,92,80,0,0,0,100,77,12,40,60,60,60,67,60,0,0,0,0,208,78,100,205,95,95,111,95,0,0,0,156
ARCHER,25,4,116,39,48,114,86,86,79,86,0,0,8,105,37,17,22,60,57,57,37,57,0,0,0,0,179,83,59,196,105,105,98,105,0,0,33,199
ARCHER,26,10,154,46,61,142,79,79,92,79,0,0,3,107,77,13,40,60,47,47,67,47,0,0,0,0,221,97,101,220,95,95,114,95,0,0,28,162
ARCHER,27,6,178,38,61,159,78,78,100,78,0,0,0,127,77,8,40,60,57,57,67,57,0,0,0,67,218,79,73,211,89,89,113,89,0,0,0,171
ARCHER,28,5,148,32,55,146,75,75,95,75,0,0,26,101,77,14,40,60,47,47,77,47,0,0,0,0,212,79,69,218,94,94,115,94,0,0,129,192
ARCHER,29,10,162,41,59,167,85,85,97,85,0,0,0,137,68,11,36,60,43,43,60,43,0,0,0,63,242,114,81,231,97,97,123,97,0,0,0,176
ARCHER,30,6,209,39,71,155,91,91,125,91,0,0,0,128,160,20,54,96,75,75,90,75,0,0,0,0,245,80,110,213,100,100,230,100,0,0,0,203
ARCHER,31,10,164,30,62,158,89,89,103,89,0,0,9,118,77,8,40,60,47,47,67,47,0,0,0,0,247,101,78,245,119,119,130,119,0,0,64,222
ARCHER,32,5,122,21,48,120,71,71,81,71,0,0,0,70,72,14,40,60,43,43,67,43,0,0,0,0,237,35,73,241,90,90,122,90,0,0,0,212
ARCHER,33,13,164,58,59,156,87,87,108,87,0,0,49,86,47,14,22,60,53,53,37,53,0,0,0,0,242,121,75,239,108,108,254,108,0,0,185,220
ARCHER,34,5,143,46,55,133,78,78,91,78,0,0,28,97,77,8,40,61,47,47,67,47,0,0,0,0,242,103,73,220,111,111,122,111,0,0,138,203
ARCHER,35,10,194,55,80,155,93,93,109,94,0,0,25,121,87,8,42,74,70,70,69,75,0,0,0,0,266,106,153,264,123,123,129,123,0,0,126,217
ARCHER,36,5,192,65,79,137,101,101,126,101,0,0,0,117,110,14,56,100,89,89,107,89,0,0,0,0,256,150,140,239,117,117,180,117,0,0,0,224
ARCHER,37,9,209,75,76,171,103,103,129,103,0,0,14,120,89,14,45,107,86,86,67,86,0,0,0,0,264,125,154,258,127,127,277,127,0,0,130,224
ARCHER,38,6,192,39,65,169,83,83,108,83,0,0,20,136,77,14,40,60,47,47,67,47,0,0,0,60,281,83,80,253,100,100,133,100,0,0,118,207
ARCHER,39,5,120,40,51,108,90,90,98,90,0,0,0,52,72,14,40,60,60,60,67,60,0,0,0,0,243,117,77,170,118,118,151,118,0,0,0,187
ARCHER,40,6,239,64,82,205,122,103,119,103,0,0,35,158,210,19,66,108,84,84,108,84,0,0,0,0,272,150,132,270,223,117,128,117,0,0,208,247
ARCHER,41,4,201,78,83,136,94,94,110,94,0,0,0,153,77,21,40,60,57,57,67,57,0,0,0,0,254,142,141,268,118,118,129,118,0,0,0,227
ARCHER,42,7,143,35,57,121,95,95,95,95,0,0,22,117,67,14,40,60,47,47,67,47,0,0,0,0,248,46,82,215,140,140,137,140,0,0,155,264
ARCHER,43,8,187,52,70,204,106,97,113,97,0,0,31,168,77,14,40,60,47,47,67,47,0,0,0,0,261,158,92,270,200,135,133,135,0,0,165,276
ARCHER,44,8,208,102,67,180,105,105,132,105,0,0,25,156,50,19,30,60,93,93,50,93,0,0,0,0,269,162,82,274,117,117,284,117,0,0,117,265
ARCHER,45,5,227,89,68,194,93,93,113,93,0,0,39,198,83,11,44,65,57,57,73,57,0,0,0,68,285,190,81,275,111,111,134,111,0,0,146,256
ARCHER,46,6,201,66,81,201,90,90,111,90,0,0,20,177,77,14,40,60,61,61,67,61,0,0,0,0,298,150,168,279,109,109,137,109,0,0,119,268
ARCHER,47,10,249,107,80,197,106,106,152,106,0,0,14,160,151,18,48,85,80,80,80,80,0,0,0,0,296,211,130,280,129,129,277,129,0,0,142,265
ARCHER,48,9,217,79,69,224,100,100,114,100,0,0,40,131,77,11,40,60,86,86,67,86,0,0,0,0,294,155,84,283,117,117,140,117,0,0,165,282
ARCHER,49,4,162,69,56,164,105,105,94,105,0,0,0,126,37,14,22,60,92,92,37,92,0,0,0,0,260,160,80,275,120,120,133,120,0,0,0,281
ARCHER,50,15,191,68,61,162,102,102,111,102,0,0,8,98,37,8,22,60,67,67,37,67,0,0,0,0,282,199,84,285,130,130,287,130,0,0,118,278
ARCHER,51,14,240,88,79,223,102,102,152,102,0,0,40,172,77,14,40,60,43,43,77,43,0,0,0,0,299,164,101,290,124,124,303,124,0,0,170,297
ARCHER,52,3,222,112,69,210,92,92,115,92,0,0,0,211,84,21,40,74,55,55,67,55,0,0,0,72,297,164,84,280,113,113,140,113,0,0,0,281
ARCHER,53,5,193,87,94,184,110,110,121,110,0,0,138,121,72,14,43,91,103,103,72,103,0,0,5,0,275,172,184,292,120,120,147,120,0,0,229,216
ARCHER,54,10,236,98,72,222,112,112,120,112,0,0,65,194,57,35,34,60,87,87,57,87,0,0,0,0,311,148,86,293,128,128,143,128,0,0,209,310
ARCHER,55,10,270,90,79,231,113,113,131,113,0,0,66,190,122,24,65,100,92,92,109,92,0,0,0,0,318,155,86,295,128,128,143,128,0,0,181,295
ARCHER,56,10,222,78,67,204,106,106,109,106,0,0,79,193,37,19,22,60,62,62,37,62,0,0,0,0,314,149,100,292,123,123,143,123,0,0,192,289
ARCHER,57,15,180,69,64,165,97,97,107,97,0,0,11,119,37,8,22,60,47,47,37,47,0,0,0,0,321,196,90,292,119,119,145,119,0,0,152,305
ARCHER,58,7,240,95,99,245,110,110,127,110,0,0,51,122,77,14,40,60,95,95,77,95,0,0,0,0,300,156,168,290,123,123,149,123,0,0,165,231
ARCHER,59,3,210,90,71,157,118,118,118,118,0,0,65,111,87,8,52,60,103,103,87,103,0,0,0,47,284,135,83,293,132,132,139,132,0,0,186,210
ARCHER,60,6,273,103,95,211,112,112,129,112,0,0,44,103,152,42,51,75,73,73,85,73,0,0,0,0,314,167,186,300,127,127,147,127,0,0,165,306
ARCHER,61,9,297,114,84,255,119,119,140,119,0,0,55,214,250,49,75,108,110,110,125,110,0,0,0,0,323,212,88,307,135,135,147,135,0,0,206,301
